Index,Datum,Jahrzehnt
430,2014-03-24 11:15:03,2010
431,2014-03-24 11:16:03,2010
432,2014-03-24 11:17:03,2010
433,2014-03-24 11:18:03,2010
434,2014-03-24 11:19:04,2010
435,2014-03-24 11:20:04,2010
436,2014-03-24 11:21:04,2010
437,2014-03-24 11:22:04,2010
438,2014-03-24 11:23:04,2010
439,2014-03-24 11:24:04,2010
440,2014-03-24 11:25:04,2010
441,2014-03-24 11:26:04,2010
442,2014-03-24 11:27:04,2010
443,2014-03-24 11:28:05,2010
444,2014-03-24 11:29:05,2010
445,2014-03-24 11:30:05,2010
446,2014-03-24 11:31:05,2010
447,2014-03-24 11:32:05,2010
448,2014-03-24 11:33:05,2010
449,2014-03-24 11:34:05,2010
450,2014-03-24 11:35:05,2010
451,2014-03-24 11:36:05,2010
452,2014-03-24 11:37:05,2010
453,2014-03-24 11:39:00,2010
454,2014-03-24 11:40:00,2010
455,2014-03-24 11:41:00,2010
456,2014-03-24 11:42:00,2010
457,2014-03-24 11:43:00,2010
458,2014-03-24 11:44:00,2010
459,2014-03-24 11:45:00,2010
460,2014-03-24 11:46:00,2010
461,2014-03-24 11:47:00,2010
462,2014-03-24 11:48:00,2010
463,2014-03-24 11:49:01,2010
464,2014-03-24 11:50:01,2010
465,2014-03-24 11:51:01,2010
466,2014-03-24 11:52:01,2010
467,2014-03-24 11:53:01,2010
468,2014-03-24 11:54:01,2010
469,2014-03-24 11:55:01,2010
470,2014-03-24 11:56:01,2010
471,2014-03-24 11:57:01,2010
472,2014-03-24 11:58:01,2010
473,2014-03-24 11:59:02,2010
474,2014-03-24 12:00:02,2010
475,2014-03-24 12:01:02,2010
476,2014-03-24 12:02:02,2010
477,2014-03-24 12:03:02,2010
478,2014-03-24 12:04:02,2010
479,2014-03-24 12:05:02,2010
480,2014-03-24 12:06:02,2010
481,2014-03-24 12:07:02,2010
482,2014-03-24 12:08:03,2010
483,2014-03-24 12:09:03,2010
484,2014-03-24 12:10:03,2010
485,2014-03-24 12:11:03,2010
486,2014-03-24 12:12:03,2010
487,2014-03-24 12:13:03,2010
488,2014-03-24 12:14:03,2010
489,2014-03-24 12:15:03,2010
490,2014-03-24 12:16:03,2010
491,2014-03-24 12:17:03,2010
492,2014-03-24 12:18:04,2010
493,2014-03-24 12:19:04,2010
494,2014-03-24 12:20:04,2010
495,2014-03-24 12:21:04,2010
496,2014-03-24 12:22:04,2010
497,2014-03-24 12:23:04,2010
498,2014-03-24 12:24:04,2010
499,2014-03-24 12:25:04,2010
500,2014-03-24 12:26:04,2010
501,2014-03-24 12:27:04,2010
502,2014-03-24 12:28:05,2010
503,2014-03-24 12:29:05,2010
504,2014-03-24 12:30:05,2010
505,2014-03-24 12:31:05,2010
506,2014-03-24 12:32:05,2010
507,2014-03-24 12:33:05,2010
508,2014-03-24 12:34:05,2010
509,2014-03-24 12:35:05,2010
510,2014-03-24 12:36:05,2010
511,2014-03-24 12:38:00,2010
512,2014-03-24 12:39:00,2010
513,2014-03-24 12:40:00,2010
514,2014-03-24 12:41:00,2010
515,2014-03-24 12:42:00,2010
516,2014-03-24 12:43:00,2010
517,2014-03-24 12:44:00,2010
518,2014-03-24 12:45:00,2010
519,2014-03-24 12:46:00,2010
520,2014-03-24 12:47:00,2010
521,2014-03-24 12:48:01,2010
522,2014-03-24 12:49:01,2010
523,2014-03-24 12:50:01,2010
524,2014-03-24 12:51:01,2010
525,2014-03-24 12:52:01,2010
526,2014-03-24 12:53:01,2010
527,2014-03-24 12:54:01,2010
528,2014-03-24 12:55:01,2010
529,2014-03-24 12:56:01,2010
530,2014-03-24 12:57:01,2010
531,2014-03-24 12:58:02,2010
532,2014-03-24 12:59:02,2010
533,2014-03-24 13:00:02,2010
534,2014-03-24 13:01:02,2010
535,2014-03-24 13:02:02,2010
536,2014-03-24 13:03:02,2010
537,2014-03-24 13:04:02,2010
538,2014-03-24 13:05:02,2010
539,2014-03-24 13:06:02,2010
540,2014-03-24 13:07:02,2010
541,2014-03-24 13:08:03,2010
542,2014-03-24 13:09:03,2010
